# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
ほこり 誇り [自豪，骄傲；荣誉]
ほこり 埃 [尘埃，灰尘，尘土]
ほじょ 補助 [补助，辅助]
ほしょうにん 保証人 [担保人，保证人]
ほそながい 細長い [细长]
ほぞん 保存 [保存]
ボタン 葡 botã o [纽扣，按钮]
ホッチキス Hotchkiss [订书机]
ホット hot [热的，热]
ほっと ほっと [放心，松了一口气]
ホテル hotel [宾馆，饭店；旅馆]
ほどう 歩道 [人行道]
ほめる 褒める [表扬，夸奖]
ボランティア volunteer [志愿者]
ほる 掘る [挖，挖掘]
ぼんおどり 盆踊り [盂兰盆舞]
ほんね 本音 [真心话]
ぼんやり ぼんやり [模糊；恍惚；发呆]
マイナス minus [减，负；亏损；不利]
まいる 参る [(自谦)去，来]
まえむき 前向き [面向前方，积极]
まかせる 任せる [托付，听任，听凭]
まがる 曲がる [弯曲，拐弯]
まく 巻く [卷上，缠上]
まくら 枕 [枕头]
まけずぎらい 負けず嫌い [好强，好胜，不认输]
まける 負ける [输，败；屈服，示弱]
まげる 曲げる [弄弯，歪曲]
まご 孫 [孙子(女)，外孙(女)]
まじめ 真面目 [认真，严肃，诚实]
ます 増す [增多，增大；增加，增添]
まずい 不味い [不好吃； （技艺）拙劣]
まずしい 貧しい [穷；贫穷，穷苦，贫困]
ますます 益益 [越发，越来越，更加]
まぜる 混ぜる [掺和，搅拌]
または または [或者，要么]
まちがえる 間違える [弄错，搞错，做错]
まったく 全く [完全，简直]
まつり 祭り [祭祀；祭日；庙会]
まどう 惑う [困惑，拿不定主意]
まとめる まとめる [汇总，概括，归纳]
マナー manner [礼貌，礼节；举止]
まぬがれる 免れる [避免，免受，豁免]
まぶしい 眩しい [耀眼，刺眼；]
まもる 守る [守卫，保卫；遵守]
まゆ 眉 [眉毛]
まよう 迷う [迷惑，犹豫，茫然失措]
まるうつし 丸写し [抄，照抄，抄写]
まるで まるで [宛如，完全]
まるまる まるまる [完全，全部，整整]
まわす 回す [转动；围上；转送,转到]
まわり 周り [周围]
まわる 回る [转，巡回，迂回]
まんぞく 満足 [满足，满意]
みかける 見かける [看到，看见]
みかた 味方 [同伙，自己人]
みじめ 惨め [悲惨，凄惨]
みずうみ 湖 [湖]
みせる 見せる [给…看，让…看；出示]
みたす 満たす [充满，填满，满足]
みちあふれる 満ち溢れる [洋溢，充满]
みちすじ 道筋 [路线；道理]
みつかる 見つかる [被发现，被找到]
みつける 見つける [找出，发现]
みとめる 認める [认识，承认]
みなおす 見直す [重看，重新估价、认识]
みなと 港 [港，港口]
みなれる 見慣れる [看惯]
みにつく 身に付く [成为自己的东西，掌握]
みにつける 身につける [穿戴在身上；掌握]
みぶり 身振り [形体动作]
みぶん 身分 [身份]
みまもる 見守る [注视，关怀，关注]
みまん 未満 [未满，不足]
みみもと 耳元 [耳边,耳旁]
みりょく 魅力 [魅力]
むえん 無縁 [无缘，没关系]
むかう 向かう [向，朝，面向；往～去]
むく 向く [向，面对；适合]
むける 向ける [向，朝，对]
むしば 虫歯 [蛀牙；蛀齿，龋齿]
むす 蒸す [蒸]
むすこ 息子 [儿子；男孩]
むすぶ 結ぶ [系结，结合；建立关系]
むすめ 娘 [女儿，闺女；女孩，姑娘]
むだ 無駄 [徒劳，无用；白费]
むてき 無敵 [无敌]
むね 胸 [胸，胸部；内心]
むよう 無用 [无用，禁止，无需]
むり 無理 [勉强，硬要]
むりょう 無料 [免费]
めい 姪 [侄女，外甥女]
めいし 名刺 [名片]
めいわく 迷惑 [麻烦，烦扰，为难，打搅]
メール mail [邮件]
めぐむ 恵む [施舍；救济，怜恤，周济]
めざす 目指す [以…为目标（目的）]
めし 飯 [饭；饭碗，生活，生计]
めずらしい 珍しい [新奇，稀奇；罕见]
めだつ 目立つ [显眼,显著,引人注目]
メッセージ message [寄语，留言，口信]
メディア media [媒介，宣传媒体]
めでたい めでたい [可贺可喜，出色]
めまい 眩暈 [头晕目眩]
メリット merit [优点，长处，价值]
めんせつ 面接 [面试，接见]
もうかる 儲かる [赚钱，赚]
もうける 儲ける [赚钱，发财，得利]
もうける 設ける [准备；设置，设立，制定]
もうしわけない 申し訳ない [非常抱歉，无法辩解]
もえる 燃える [燃烧]
もぐる 潜る [潜水；藏入；潜入]
もし もし [要是，如果]
もしくは もしくは [或，或者]
もたらす もたらす [带来〔去〕；招致，造成]
もちあげる 持ち上げる [举起,抬起,拿起；抬举]
もちあるく 持ち歩く [拿着...到处走]
もちいる 用いる [使用；任用；采用]
モチベーション motivation [动机，促动因素]
もちろん 勿論 [当然，不必说]
もっとも 最も [最，顶]
もとづく 基づく [根据，基于，按照]
もとめる 求める [想要，寻求，要求]
ものがたり 物語り [故事，传说]
ものごころ 物心 [懂事，懂人情世故]
ものまね 物真似 [模仿，仿效]
もはや 最早 [(事到如今)已经]
もみじ 紅葉 [枫叶,红叶]
もやす 燃やす [烧，燃火；燃起，迸发出]
もよう 模様 [花纹,图案；情况，样子]
もよおす 催す [举行；举办；主办]
もりあがる 盛り上がる [热烈，活跃，高涨]
もん 門 [大门]
もんく 文句 [话语；意见,牢骚；异议]
もんげん 門限 [关门时间]
やがて やがて [不久，最近；结果]
やかましい 喧しい [吵闹；严格，苛刻]
やく 焼く [烧，烤，烘烤]
やくす 訳す [译，翻译]
やくしょ 役所 [官署，官厅]
やくわり 役割 [任务，职务，作用]
やしなう 養う [养活，养育]
やせる 痩せる [瘦，瘠薄，贫瘠]
やつあたり 八つ当たり [乱发脾气，对谁都发火]
やっかい 厄介 [麻烦；难办]
やっと やっと [好不容易，总算，终于]
やとう 雇う [雇，雇佣]
やね 屋根 [屋顶，房顶]
やはり やはり [仍然，也，毕竟，还是]
やぶる 破る [弄破，打败]
やぶれる 破れる [破，破损]
やむ 止む [停止]
やるき やる気 [干劲]
やわらかい 柔らかい [软，嫩；柔软，柔和]
やわらげる 和らげる [使缓和，使柔和]
ゆか 床 [地板]
ゆかい 愉快 [愉快，开心]
ゆかた 浴衣 [夏季穿的单衣，浴衣]
ゆうしょう 優勝 [冠军，名列第一]
ユーモア humor [幽默，滑稽，诙谐]
ゆくえふめい 行方不明 [去向不明]
ゆずる 譲る [让，谦让，转让]
ゆだん 油断 [疏忽大意]
ゆでる 茹でる [煮，烫，焯]
ゆとり ゆとり [宽裕，余地]
ユニーク unique [独特]
ゆにゅう 輸入 [进口]
ゆびさき 指先 [指尖]
ゆるい 緩い [松，不紧；缓慢]
ゆるす 許す [宽恕，允许，认可]
ゆれる 揺れる [摇动，摇晃，摇摆]
よい 酔い [酔；晕车，晕船]
ようい 用意 [准备,预备；注意；警惕]
ようじ 用事 [应该做的事情]
ようす 様子 [情况，动向，迹象]
ようふく 洋服 [西式服装]
ようやく 漸く [好不容易；勉强；总算]
ようりょう 要領 [要领，要点；诀窍]
ヨーグルト Yoghurt [酸奶，酸乳酪]
よけい 余計 [过多，多余，更加]
よこぎる 横切る [横穿，穿过]
よごれる 汚れる [脏，肮脏]
よさん 予算 [预算]
よしゅう 予習 [预习]
よせる 寄せる [靠近，召集，投靠]
よそう 予想 [预料，预计]
よっぱらう 酔っ払う [喝得酩酊大醉，神志不清]
よてい 予定 [预定]
よなか 夜中 [半夜，深夜]
よのなか 世の中 [世上，社会]
よびかける 呼びかける [打招呼，呼吁，号召]
よぼう 予防 [预防]
よほど よほど [很，相当]
よめ 嫁 [儿媳妇；妻,媳妇儿,新娘]
よゆう 余裕 [富裕，充裕，从容]
よる 寄る [靠(近)；顺便到]
より より [更，更加]
よろこぶ 喜ぶ [欢喜，高兴；欣然接受]
よわる 弱る [软弱，衰弱]
ライフスタイル lifestyle [生活方式]
らく 楽 [轻松，舒服]
ラッシュ rush [拥挤时间]
ランキング ranking [排名，名次]
りえき 利益 [利益]
りかい 理解 [理解]
リサイクル recycle [废物回收利用]
リスク risk [风险]
リズム rhythm [韵律，格律，节奏]
りっぱ 立派 [漂亮，出色]
リハーサル rehearsal [彩排，排练]
りゅうこう 流行 [流行]
りよう 利用 [利用，发挥功能、长处]
りょうかい 了解 [了解，领会，明白]
りょうがえ 両替 [兑换，换钱]
りょうきん 料金 [费用]
りょうりつ 両立 [并存，两立]
りょかん 旅館 [(日式)旅馆]
リラックス relax [放松，松弛，缓和]
ルール rule [规则，规定]
るす 留守 [不在家]
れい 礼 [礼，谢意，谢礼，礼品]
れいぎ 礼儀 [礼节，礼貌]
れいぞうこ 冷蔵庫 [冰箱]
レジ register [收款处，收银员]
レジャー leisure [空闲，闲暇，业余时间]
レストラン restaurant [餐厅]
レポート report [报告书，小论文]
れんきゅう 連休 [连休]
レンタル rental [租赁，出租]
れんらく 連絡 [联络，联系]
ワイシャツ white shirt [(男)衬衫，衬衣]
ワイン wine [葡萄酒，红酒]
わかい 若い [年轻的]
わかす 沸かす [烧热，烧开]
わかちあう 分かち合う [分担，分享]
わがまま わがまま [任性]
わかもの 若者 [年青人]
わかれる 別れる [分开，分手，分别]
わく 湧く･沸く [涌出，冒出，沸腾]
わくわく わくわく [兴奋、期待]
わけ 訳 [原因；理由；道理]
わける 分ける [分；分开；分类；拉开]
わたす 渡す [送过河；交,付；交给]
わりあい 割合 [比例，比率；比较]
わりと 割と [比较…，]
わりばし 割り箸 [卫生筷子，一次性筷子]
わる 割る [分，除；弄碎]
われる 割れる [分裂；破裂，碎]
あいづちをうつ 相槌を打つ [打帮腔；随声附和]
あしがぼうになる 足が棒になる [腿脚累得要命；腿累酸]
あしをあらう 足を洗う [金盆洗手，改邪归正]
あせをかく 汗をかく [出(大)汗]
あたまにくる 頭に来る [头昏脑涨；气得发昏]
あとのまつり 後の祭り [马后炮，雨后送伞]
いきがつまる 息が詰まる [呼吸困难；憋气；感到压抑]
いじがわるい 意地が悪い [用心不良；故意刁难]
いわぬがはな 言わぬが花 [沉默是金，不语为妙]
おとをたてる 音を立てる [弄出声音；发出音响]
おににかなぼう 鬼に金棒 [如虎添翼]
かおがきく 顔が利く [有面子；吃得开]
かおがひろい 顔が広い [交际广]
きがきく 気が利く [机灵，有眼力见儿，乖巧]
きがすすむ 気が進む [想做（某事）]
きがつく 気がつく [发现，注意到]
きがちいさい 気が小さい [心眼小; 气量小; 度量小]
きげんをとる 機嫌を取る [讨好；取悦；逢迎]
きにいる 気に入る [中意，喜欢，看中]
きにさわる 気に障る [令人不快，触怒，得罪]
きにする 気にする [介意，在意]
きになる 気になる [在意，介意]
きをくばる 気を配る [多方注意，留神，用心周到]
くちがうまい 口が上手い [会说奉承话；嘴甜；嘴巧]
くびにする 首にする [撤职，开除]
くびをしめる 首を絞める [掐住脖子（勒死）]
けんとうをつける 見当を付ける [大致估计，预想]
こころをうつ 心を打つ [打动，感动]
せきをはずす 席を外す [离开，退居]
そうだんにのる 相談に乗る [参与商谈；帮人斟酌]
ちからをかりる 力を借りる [借助，寻求帮助]
てがかかる 手がかかる [费事；麻烦]
てがとどく 手が届く [办得到；够得着；买得起]
てにいれる 手に入れる [到手，据为己有]
てをうつ 手を打つ [采取措施；设法处理]
てをかす 手を貸す [帮助别人]
てをかりる 手を借りる [求别人帮忙，求助]
ねこにこばん 猫に小判 [投珠与豕；对牛弹琴]
ねんをおす 念を押す [叮问；叮嘱]
はじをかく 恥をかく [出丑；丢脸；丢人]
はながたかい 鼻が高い [得意扬扬]
はなしがはずむ 話が弾む [聊(谈)得起劲]
はなよりだんご 花より団子 [不求风流但求实惠]
はらがたつ 腹が立つ [生气，发怒]
ひにやける 日に焼ける [(太阳)晒黑(肤色)]
ほねがおれる 骨が折れる [费力气；费劲；棘手]
みみがとおい 耳が遠い [耳沉；耳背]
めがない 目がない [非常喜欢；着迷]
めにつく 目に付く [注意到，看到]
ものをいう 物を言う [说话；起作用，顶用]
# ========================================================
# 50音伪装计算器 - 新标日中级核心 专属独立纯净词库
# 优化：云端物理级脱壳提纯，100%保留长翻译、标点与多义项
# ========================================================

であい 出会い [相遇]
たすかる 助かる [获得帮助；得救]
すっかり すっかり [完全,彻底]
まち 街 [街道；城镇]
へんか 变化 [变化]
ついていく ついていく [跟上，跟上去]
こうそう 高层 [高层]
こうそうピル 高层～ [高楼，大厦]
へん 辺 [一带，附近]
ニューヨーク ニューヨーク [纽约]
しつれいですが 失礼ですが [对不起]
かんじがします 感じがします [感觉，觉得]
てんきんになる 転勤になる [调动工作，调换工作地点]
ちょっと ちょっと [哎，劳驾；有点，稍微；有点儿… ，不太…]
おじさん おじさん [大爷，大叔；伯伯，叔叔，舅舅]
おねえさん お姉さん [姐姐]
じどうドア 自動～ [自动门]
めざましどけい 目覚まし時計 [闹钟]
おとうさん お父さん [父亲，爸爸]
ふしぎ 不思議 [不可思议，奇怪]
えきべん 駅弁 [车站卖的盒饭]
さき 先 [先，开头]
おきにいる お気に入り [喜欢，中意]
あめ あめ [雨]
やむ やむ [停，停止]
あいさつ あいさつ [打招呼，寒暄]
はつおん 発音 [发音]
ほめる ほめる [表扬，赞扬]
のびる 伸びる [进步，提高；变长，延长]
きにする 気にする [介意，在屁]
おる おる [在（“いる”的自谦语）]
まいる 参る [去，来（“いく”“くる”的自谦语）]
もうします 申します [说，讲，叫作（“いう”的自谦语）]
いたす いたす [做，办（“する”的自谦语）]
いただきます いただきます [吃，喝，得到（“たべる”“のむ”“もらう”的自谦语）]
ぞんじておる 存じておる [知道，了解（“しっている”的自谦语）]
おめにかかる お目にかかる [见面，拜见（“あう”的自谦语）]
ございます ございます [有，在（“ある”的叮咛语）]
～さま ～様 [～先生，～女士，～大人]
～のごろ ～の～ [～左右]
～ごうしつ ～号室 [～号房间]
～ねん ～年 [～年]
～くみ ～组 [～组]
スケジュール スケジュール [日程表，日程计划]
とうきょうタワー 東京タワー [东京塔]
にってい 日程 [日程]
みじかい 短い [短]
てんらんかい 展覧会 [展览会]
それほど それほど [那么，那种程度]
あきる 飽きる [厌烦，厌腻]
ねんのために 念のために [谨慎起见，为保险起见]
かわる 変わる [变，转变；改变]
しょうじき 正直 [老实，正直]
よろこぶ 喜ぶ [高兴，喜悦]
すいせんじょう 推荐状 [推荐信]
まかせる 任せる [托付，任凭]
ひかく 比较 [比较]
かくち 各地 [各地]
じさ 时差 [时差]
きおん 気温 [气温]
マイナス マイナス [零下，负]
つもる 積もる [堆积，积聚]
かんそう 乾燥 [干燥]
さがる 下がる [下降，降低]
あがる 上がる [上升，提高]
あたたかい 温かい [暖和，温暖]
～ど ～度 [～度]
スキー スキー [滑雪]
えきまえ 駅前 [车站前]
かわ 川 [河流]
こおる 凍る [结冰，凝固]
きんじょ 近所 [附近，邻居]
おどろく 驚く [吃惊，惊讶]
たしか 確か [确实，大概]
たいへん 大変 [非常，极为]
まったく 全く [完全，简直]
はれ 晴れ [晴天]
くもり 曇り [阴天]
ゆき 雪 [雪]
おおゆき 大雪 [大雪]
ごうせつ 豪雪 [暴雪]
おおあめ 大雨 [大雨]
ごうう 豪雨 [暴雨]
こうすいりょう 降水量 [降水量]
つゆ 梅雨 [梅雨]
ゆうがた 夕方 [傍晚]
ひるま 昼間 [白天]
はる 春 [春季]
なつ 夏 [夏季]
あき 秋 [秋季]
ふゆ 冬 [冬季]
しき 四季 [四季]
シーズン シーズン [季节，旺季]
かんき 乾季 [干季]
うき 雨季 [雨季]
～にち ～日 [～日]
～ほう面 ～方面 [～方向，～地区]
～がわ ～侧 [～侧，～边]
～ちほう ～地方 [～地区]
しゃちょう 社长 [总经理，社长]
あう 会う [见面]
あいさつする あいさつする [打招呼]
よろしくお伝えください よろしくお伝えください [请代问好]
ごぶさたする ごぶさたする [久未问候，阔别]
お元気ですか お元気ですか [您身体好吗]
おかげさまで おかげさまで [托您的福]
～によろしく ～によろしく [向～问好]
～によろしくお伝えください ～によろしくお伝えください [请向～转达我的问候]
～によろしくお伝え願います ～によろしくお传递愿います [请向～转达我的问候]
～によろしく言ってください ～によろしく言ってください [请向～代为致意]
～にくれぐれろしくお伝えください ～にくれぐれろしくお伝えください [请一定向～转达我的问候]
～の皆様によろしくお伝えください ～の皆様によろしくお伝えください [请向～各位转达我的问候]
～にどうぞよろしくお伝えください ～にどうぞよろしくお伝えください [请一定向～转达我的问候]
きょうじゅ 教授 [教授]
かんげいかい 歓迎会 [欢迎会]
～へん ～编 [～篇]
～しょう ～章 [～章]
～せつ ～节 [～节]
～こう ～项 [～项]
～もく ～目 [～目]
～もん ～问 [～问]
あつまり 集まり [聚会，集会]
こんや 今夜 [今晚]
おくさん 奥さん [夫人，太太]
いっしょ 一緒 [一同，一块儿]
だす 出す [寄（信）；提出，出（题）]
てがみ 手紙 [信]
じゅんび 准备 [准备]
じゅんびする 准备する [准备]
～ちゅう ～中 [～中，正在～]
～ごう ～号 [～号]
～さつ ～册 [～册]
～かい ～回 [～回，～次]
～ど ～度 [～度，～次]
～び ～日 [～日，～天]
～しゅうねん ～周年 [～周年]
～ねん ～年 [～年]
～がつ ～月 [～月]
～ようび ～曜日 [～星期]
パーティー パーティー [联欢会，宴会]
ひらく 開く [举办，开]
ばしょ 場所 [地方，场所]
じかん 時間 [时间]
おくる 送る [寄，发送；送（人）]
あんない 案内 [向导，导游；通知]
あんないする 案内する [向导]
～じ ～时 [～点，～时]
～ふん ～分 [～分]
～びょう ～秒 [～秒]
～ご ～後 [～后]
～まえ ～前 [～前]
～すぎ ～すぎ [超过～]
～はん ～半 [～半]
～ごろ ～ごろ [～左右]
～かん ～間 [～期间]
～しゅうかん ～週間 [～周]
～かげつ ～か月 [～个月]
～ねんかん ～年間 [～年期间]
れんらく 連絡 [联系]
れんらくする 連絡する [联系]
～の件 ～の件 [关于～的事]
うけたまわる 承る [听从，传达（“きく”“うける”的自谦语）]
つたえる 伝える [传达，转告]
～ほう ～方 [～方面]
～がわ ～侧 [～侧]
～へん ～辺 [～附近]
～ちほう ～地方 [～地区]
しょうかい 介绍 [介绍]
しょうかいする 介绍する [介绍]
～さん ～さん [～先生，～女士]
～氏 ～氏 [～氏]
～くん ～君 [～君]
～ちゃん ～ちゃん [～小（用于小孩、亲近人称后）]
～どの ～殿 [～阁下，～大人]
～せんせい ～先生 [～老师]
～しゃちょう ～社長 [～社长]
～ぶちょう ～部長 [～部长]
～かちょう ～課長 [～课长]
～せんぱい ～先輩 [～前辈]
～こうはい ～後輩 [～后辈]
～どうりょう ～同僚 [～同事]
～ゆうじん ～友人 [～朋友]
～ちしん ～知人 [～熟人]
～かぞく ～家族 [～家属]
～しんせき ～親戚 [～亲戚]
～きょうだい ～兄弟 [～兄弟]
～しまい ～姉妹 [～姐妹]
～ふし ～父子 [～父子]
～ぼし ～母子 [～母子]
～ふうふ ～夫婦 [～夫妇]
～し弟 ～師弟 [～师生]
～せんしゅ ～選手 [～选手]
～かんとく ～監督 [～教练，～导演]
～コーチ ～コーチ [～教练]
～キャプテン ～キャプテン [～队长]
～メンバー ～メンバー [～成员]
～ファン ～ファン [～迷，～粉丝]
～サポーター ～サポーター [～支持者]
～ライバル ～ライバル [～对手]
～パートナー ～パートナー [～搭档]
～グループ ～グループ [～组，～集团]
～チーム ～チーム [～队]
～クラブ ～クラブ [～俱乐部]
～サークル ～サークル [～社团]
～サロン ～サロン [～沙龙]
～クラス ～クラス [～班级]
～学年 ～学年 [～学年]
～期 ～期 [～期]
～代 ～代 [～代，～辈]
～派 ～派 [～派别]
～流 ～流 [～流派]
～系 ～系 [～系统，～派系]
～属 ～属 [～属性，～金属]
～型 ～型 [～型号]
～式 ～式 [～方式]
～版 ～版 [～版本]
～制 ～制 [～制度]
～法 ～法 [～法律，～方法]
～律 ～律 [～规律]
～令 ～令 [～命令]
～権 ～権 [～权利]
～奖 ～賞 [～奖项]
～金 ～金 [～资金，～奖金]
～税 ～税 [～税收]
～料 ～料 [～费用]
～代 ～代 [～费用]
～ち賃 ～賃 [～租金]
～ひ費 [～费用]
ぶんぶく茶釜 ぶんぶく茶釜 [文福茶釜（日本童话）]
おしょう お寺の～ [和尚]
かわいがる かわいがる [疼爱，宠爱]
たぬき たぬき [狸猫]
ふるい 古い [古老的，旧的]
ちゃがま 茶釜 [茶釜，茶水罐]
うる 売る [卖]
かわいそう かわいそう [可怜]
ていねい 丁寧 [礼貌，小心翼翼]
あらう 洗う [洗]
いたがる いたがる [喊痛]
おどろく 驚く [吃惊]
ひあぶる 火に～ [火烤]
あつい あつい [热]
あつがる 暑がる [怕热]
てあし 手足 [手脚]
しっぽ しっぽ [尾巴]
だす 出す [长出，伸出]
にげだす 逃げ出す [逃跑]
ふるや 古道具屋 [古董店]
おやじ おやじ [老头，掌柜]
よる 夜 [晚上]
おきる 起きる [醒来，起床]
つなわたる 綱渡り [走钢丝]
みせる 見せる [展示，表演]
みせものごや 見世物小屋 [杂耍小屋]
おおもうけ 大儲け [大赚一笔]
おれい お礼 [谢礼，报答]
おてら お寺 [寺庙]
かえす 返す [归还]
まいにち 毎日 [每天]
たくさんの たくさんの [许多的]
ひと 人 [人]
おまいり お参り [参拜]
くる 来る [来]
いま 今 [现在]
のこる 残る [留下，残留]
はなし 話 [故事，话]
おしまい おしまい [结束]
むかしむかし 昔々 [很久很久以前]
あるところに あるところに [在某个地方]
おじいさん おじいさん [老爷爷]
おばあさん おばあさん [老奶奶]
くらすごと 暮らす [生活，度日]
やま 山 [山]
しばかり 芝刈り [砍柴]
いく 行く [去]
かわ 川 [河流]
せんたく 洗濯 [洗衣服]
ながれてくる 流れてくる [流过来]
おおきな 大きな [大的]
もも 桃 [桃子]
ひろう 拾う [捡起]
いえ 家 [家]
もってかえる 持って帰る [带回家]
たべよう たべよう [准备吃]
きろう 切ろう [准备切]
なか 中 [里面]
あかんぼう 赤ん坊 [婴儿]
とびだす 飛び出す [蹦出来]
こども 子ども [孩子]
いない いない [没有]
よろこぶ 喜ぶ [高兴]
なまえ 名前 [名字]
つける つける [取（名字），命名]
そだてる 付ける [抚养，养育]
どんどん どんどん [接连不断地，快速地]
おおきくなる 大きくなる [长大]
つよい 強い [强壮]
やさしい 優しい [温柔，善良]
おとこのこ 男の子 [男孩子]
あるひ ある日 [有一天]
おに鬼 [恶鬼]
わるさ 悪さ [作恶，坏事]
こまる 困る [苦恼，为难]
きく 聞く [听说]
おにがしま 鬼ヶ島 [鬼岛]
たいじ 退治 [退治，惩罚]
おにたいじ 鬼退治 [惩罚恶鬼]
でかける 出かける [出发]
きびだんご きびだんご [吉备团子]
つくって 新しい～ [做]
もらう もらう [得到]
こし 腰 [腰]
つける 付ける [佩戴，带上]
とちゅう 途中 [途中]
いぬ 犬 [狗]
ひとつ ひとつ [一个]
ください ください [请给我]
おとも お供 [随从，作伴]
します します [做]
つぎ 次 [接下来]
さる 猿 [猴子]
きじ キジ [雉鸡]
なかま 仲間 [同伴]
ふね 船 [船]
のる 乗る [乘坐]
うみ 海 [大海]
わたる 渡る [渡过]
とうちゃく 到着 [到达]
たたかう 戦う [战斗]
まかす 負かす [打败]
まいりました まいりました [认输了]
あやまる 謝る [道歉]
たからもの 宝物 [宝物]
くるま 車 [车]
つむ 積む [装载]
むら 村 [村庄]
かえる 帰る [回来，回去]
しあわせ しあわせ [幸福]
くらす 暮らす [生活]
めでたしめでたし めでたしめでたし [可喜可贺，圆满结局]
おむすびころりん おむすびころりん [饭团滚滚（日本童话）]
きこり きこり [樵夫]
おにぎり おにぎり [饭团]
おとす 落とす [掉落]
あな 穴 [洞穴]
ころがる ころがる [滚动]
うた 歌 [歌声]
きこえる 聞こえる [能听到]
たのしい 楽しい [快乐]
もうひとつ もうひとつ [再一个]
いれる 入れる [放进]
じぶん 自分 [自己]
おちる 落ちる [掉进去]
ねずみ ねずみ [老鼠]
おどり 踊り [舞蹈]
ごちそう ごちそう [款待，宴请]
つづら つづら [藤箱]
おみやげ お土産 [礼物]
ちいさな 小さな [小的]
えらぶ 選ぶ [选择]
きんか 金貨 [金币]
いっぱい いっぱい [满]
いじわるな いじわるな [心术不正的]
となり 隣 [隔壁]
まね 真似 [模仿]
おおきな 大きな [大的]
よくばる 欲張る [贪婪]
おどかす 脅かす [吓唬]
ねこのなきまね 猫の鳴き真似 [学猫叫]
にげる 逃げる [逃跑]
まっくら まっくら [漆黑]
でられなくなる 出られなくなる [出不来了]
うらしまたろう 浦島太郎 [浦岛太郎（日本童话）]
りょうし 漁師 [渔夫]
うみべ 海辺 [海边]
かめ 亀 [乌龟]
いじめる いじめる [欺负]
たすける 助ける [解救，帮助]
おれい お礼 [报答]
りゅうぐうじょう 竜宮城 [龙宫]
つれていく 連れて行く [带去]
おとひめ 乙姫 [乙姬公主]
たい 鯛 [鲷鱼]
ひらめ ひらめ [比目鱼]
おどり 踊り [舞蹈]
たのしい 楽しい [快乐]
ひにち 日にち [日子，时间]
たつ 経つ [流逝]
しんぱい 心配 [担心]
たまてばこ 玉手箱 [玉手箱]
あけてはならない あけてはならない [绝对不能打开]
やくそく 約束 [约定]
むら 村 [村庄]
だれ 誰 [谁]
いない いない [不在]
なんねん 何年 [多少年]
おじいさん おじいさん [老爷爷]
けむり 煙 [烟雾]
しろい 白い [白色的]
かみ 髪 [头发]
なってしまう なってしまう [变成了]
かぐやひめ かぐや姫 [辉夜姬（日本童话）]
たけ 竹 [竹子]
たけとりのおきな 竹取の翁 [采竹老翁]
ひかる 光る [发光]
みつける 見つける [发现]
おんなのこ 女の子 [女孩子]
うつくしい 美しい [美丽的]
そだてる そだてる [抚养]
たくさん たくさん [许多]
おかね お金 [钱]
おねがい お願い [请求]
けっこん 結婚 [结婚]
むりな むりな [不可能的]
じだい 时代 [时代]
じんるい 人类 [人类]
かがく 科学 [科学]
かいはつ 开发 [开发]
きじゅつ 技术 [技术]
しんぽ 进步 [进步]
うちゅう 宇宙 [宇宙]
ちきゅう 地球 [地球]
たいよう 太阳 [太阳]
つき 月 [月亮]
ほし 星 [星星]
せいざ 星座 [星座]
わくせい 惑星 [行星]
すいせい 彗星 [彗星]
いせいじん 异星人 [外星人]
ロケット ロケット [火箭]
えいせい 卫星 [卫星]
じんこうえいせい 人工卫星 [人工卫星]
うちゅうせん 宇宙船 [宇宙飞船]
うちゅうひこうし 宇宙飞行士 [宇航员]
たいき 大気 [大气]
くうき 空气 [空气]
さんそ 酸素 [氧气]
ちっそ 窒素 [氮气]
にさんかたんそ 二酸化炭素 [二氧化碳]
おんしつこうか 温室効果 [温室效应]
おんだんか 温暖化 [气候变暖]
かんきょう 环境 [环境]
はかい 破坏 [破坏]
ほご 保护 [保护]
しぜん 自然 [自然]
せいたいけい 生态系 [生态系统]
せいぶつ 生物 [生物]
どうぶつ 动物 [动物]
しょくぶつ 植物 [植物]
びせいぶつ 微生物 [微生物]
さいぼう 细胞 [细胞]
いでんし 遺伝子 [基因]
クローン クローン [克隆]
ばいお 技术 [生物技术]
いりょう 医疗 [医疗]
いがく 医学 [医学]
びょうき 病气 [疾病]
ちりょう 治疗 [治疗]
くすり 药 [药物]
しゅじゅつ 手术 [手术]
かんじゃ 患者 [患者]
いしゃ 医者 [医生]
かんごし 看护师 [护士]
びょういん 医院 [医院]
けんこう 健康 [健康]
えいよう 营养 [营养]
ビタミン ビタミン [维生素]
カロリー カロリー [卡路里]
ダイエット ダイエット [减肥]
うんどう 运动 [运动]
スポーツ スポーツ [体育，运动]
トレーニング トレーニング [训练]
筋肉 筋肉 [肌肉]
ほね 骨 [骨骼]
しんぞう 心脏 [心脏]
のう 脑 [大脑]
しんけい 神经 [神经]
かんじょう 感情 [感情]
こころ 心 [内心，心理]
しんり 学 [心理学]
こうどう 行动 [行动]
しゃかい 社会 [社会]
にんげん 人间 [人类，人际]
かんけい 関係 [关系]
コミュニケーション コミュニケーション [交流，沟通]
ことば 言叶 [语言，辞藻]
